idx,im_std,clicks,spent,success
445,0.28247618081695103,43,69.65999997,1.0
446,-0.3903449315101775,10,16.26999998,-1.0
447,-0.49707778411268855,4,5.789999902,-1.0
448,-0.1489474606729124,24,42.08000016,-1.0
449,0.11634356380100014,40,67.66999984,-1.0
450,-0.2617424272450586,18,34.07000089,-1.0
451,-0.0689186037847436,23,41.71999967,1.0
452,-0.3278469664445348,11,19.56999981,-1.0
453,0.10822557468238005,31,57.37,1.0
454,-0.35467246022366933,10,17.36999965,1.0
455,0.5827234774585963,59,100.289999,-1.0
456,-0.5068967461384003,3,3.709999919,-1.0
457,-0.2774348615082281,14,23.2099998,-1.0
458,1.595617673139277,103,177.8899992,1.0
459,0.27973288240664146,43,66.7700001,1.0
460,-0.2437287404808579,25,32.67999995,-1.0
461,4.031890473718803,233,420.5799983,1.0
462,0.5507534998307577,52,87.55000067,-1.0
463,2.044597784991623,125,232.3700008,1.0
464,1.1645329473038342,84,150.1400012,-1.0
465,0.6126631584774063,55,96.48000073,-1.0
466,0.9785449886468313,56,95.5100013,1.0
467,0.44898608129725687,43,72.3100003,1.0
468,-0.4071532295789391,5,9.209999919,1.0
469,2.7292233935085686,147,254.2500038,1.0
470,-0.4390240903644472,6,11.17000031,-1.0
471,-0.17790236790340608,18,34.23000026,1.0
472,-0.29108740720988535,15,25.26000011,1.0
473,-0.5474419292865773,1,1.289999962,-1.0
474,0.6260503268270172,63,113.9900012,1.0
475,0.8780596944286384,64,121.0999982,1.0
476,0.6580362910423284,53,98.70000017,1.0
477,-0.4848544393310877,5,8.800000072,1.0
478,-0.42460099114660743,6,9.929999948,1.0
479,0.13469936353711587,33,53.38999939,1.0
480,-0.5300293382113489,2,3.769999981,1.0
481,-0.517134556755896,2,3.190000057,-1.0
482,-0.2761879076853601,15,24.17999995,1.0
483,0.3380071910620056,43,76.89999968,1.0
484,-0.38902443938493525,7,14.5200001,1.0
485,-0.17078833647806946,21,36.17000055,-1.0
486,-0.23414318263224704,26,38.44000077,1.0
487,0.01943287054169543,41,61.92999995,1.0
488,0.14922477691478073,43,70.4100008,1.0
489,-0.18508993763111697,24,37.5999999,-1.0
490,-0.3938076263567571,12,20.59000027,-1.0
491,-0.32216853057424366,14,24.78000021,1.0
492,-0.17745154613667688,16,29.53999937,1.0
493,-0.10959807426769093,22,37.84999979,1.0
494,-0.5043548787302463,2,2.290000021,-1.0
495,-0.3404635812779633,15,24.1900003,1.0
496,-0.47368940664017734,5,8.519999981,-1.0
497,1.3903818631651836,91,163.36,1.0
498,0.2038829194838277,36,58.14000005,1.0
499,-0.17615663255139088,18,29.30999982,1.0
500,0.8859155035127068,69,116.3399996,1.0
501,0.08004441828556344,35,60.89999914,1.0
502,-0.07530044950383208,26,40.02000093,1.0
503,2.975592693049833,147,260.0699984,1.0
504,4.721507094844715,205,359.4700001,1.0
505,0.8585304791720288,54,105.7099996,1.0
506,-0.355359883484994,6,10.66000009,1.0
507,1.3030183599445555,82,143.3000009,1.0
508,0.41101154141468477,35,65.02999854,-1.0
509,0.565042311713827,71,117.5599997,1.0
510,0.8065261101234446,81,143.4300001,1.0
511,-0.4609544910594512,5,9.659999847,1.0
512,0.6787996708518278,75,124.7999995,1.0
513,0.3771167786551371,59,98.55000019,-1.0
514,-0.14751186511786696,23,40.77000022,-1.0
515,0.8097330195704615,80,134.8799999,1.0
516,-0.35467565754116387,11,19.3599999,1.0
517,-0.10597871086387922,28,43.01000035,-1.0
518,-0.01891895280523165,31,42.62999976,-1.0
519,0.21241975719423165,51,75.78999984,-1.0
520,-0.48688473594011633,5,7.710000038,1.0
521,-0.4322201987360803,8,14.03999984,-1.0
522,-0.24527943946570657,24,39.85999966,-1.0
523,-0.1571421854114013,21,36.77999961,-1.0
524,0.07383522771117974,30,54.86999953,-1.0
525,0.24775970746130835,63,87.7899996,1.0
526,-0.49727921511484413,5,6.730000019,-1.0
